Name	Set	ImageFile	Type	Class	VP	Flying	Size	Vitality	Vit. Red	OCB	Babes	Gold	Beer	Channeling	Channeler	Ranged attack	Command	Power stones	basic draw	LDL	MDL	LUC	Effect	Bonus	Script
Babes	RE	BabesBriberyCommon2.png,CardBackDoubleBorder.png	bribery					13															Bribery		
Beer	RE	BeerBriberyCommon2.png,CardBackDoubleBorder.png	bribery					10															Bribery		
Gold	RE	GoldBriberyCommon2.png,CardBackDoubleBorder.png	bribery					7															Bribery		
Ministry of Tax Collection	DN	MinistryofTaxCollectionStrongholdDowngradeR1-horizontal.png	downgrade					7															Stronghold's owner must burn one Power Stone if he has a Shield on this Stronghold Card at the end of the Draw and Organize Phase. You may play this Downgrade on an opponent's end Stronghold Card if there is not already an Upgrade there.		
Sewage Backup	DN	SewageBackupStrongholdDowngradeU1-horizontal.png	downgrade					20															All defensive Vitality bonuses on this Stronghold Card are ignored. You may play this Downgrade on an opponent's end Stronghold Card if there is not already an Upgrade there.		
Snake Pit	NP	SnakePitStrongholdDowngradeUncom2-horizontal.png	downgrade					22															If there is a Shield on this end Stronghold Card during the Terrain Settlement Phase, that Shield's owner must discard one Creature from beneath it.		
Amber Well	RE	AmberWellElementalWellCommon1.png	elemental	Well               			L 	4		0													If beaten in combat, secondary attackers get a +8 Vitality instead of the normal +4.		
Angel	RE	AngelElementalAngelUncommon1.png	elemental	Angel              		F	M	7		0													+5 Vitality vs. Demons and Devils.		
Annihilator Cloud	RE	AnnihilatorCloudElementalForceUncommon2.png	elemental	Force		F	L	9		0						3							3 pt. ranged attack.		
Archangel Magnus	RE	ArchangelMagnusElementalAngelRare1.png	elemental	Angel              		F	M	11		0				C									+9 Vitality vs. Demons and Devils.		
Archangel Odessa	RE	ArchangelOdessaElementalAngelRare1.png	elemental	Angel              		F	M	9		0				C	3								+7 Vitality vs. Demons and Devils. Can only channel to Angels and Clerics.		
Baal-a-Gog	RE	BaalaGogElementalDevilUncommon1.png	elemental	Devil              			L 	12		4	L			C									Immune to fire.		
Baelzebub	RE	BealzebubElementalDemonRare1.png	elemental	Demon              		F	L	16		0	L			C									Immune to fire.		
Baleful Eye	RE	BalefulEyeElementalDemonCommon1.png	elemental	Demon              			S 	5		1	L						Y						For the duration of combat, your opponent must declare the Size of Creatures in match-ups before you pick your Creatures.		
